,created_at,text,entities,public_metrics,union
1207,2022-10-07T18:01:41.000Z,Are you planning to take a certification exam? Assess your knowledge with ANCC’s new Readiness Tests. Experience a simulated test environment that is timed and live-proctored. Both in-person and remote options are available. Learn more. https://t.co/aF5b4LyTYA https://t.co/LBTLTdCTkP,"{'urls': [{'start': 237, 'end': 260, 'url': 'https://t.co/aF5b4LyTYA', 'expanded_url': 'https://hubs.ly/Q01n5pgB0', 'display_url': 'hubs.ly/Q01n5pgB0', 'status': 200, 'title': 'Readiness Tests', 'description': 'Ease testing anxiety and evaluate your preparedness for the ANCC certification exams. Readiness Tests allow you to assess your knowledge comprehensively or in a focused content domain, experience the timed, live-proctored testing environment, and receive valuable performance feedback before taking your certification exam. The American Nurses Foundation is a separate charitable organization under Section 501(c)(3) of the Internal Revenue Code. The Foundation does not engage in political campaign activities', 'unwound_url': 'https://www.nursingworld.org/certification/readiness-tests/?utm_campaign=385200_2022ANCCMeasurementServicesReadinessTests_AUG_3010_&utm_source=twitter&utm_medium=social&utm_content=APRN_CCN_1200X628_LM'}, {'start': 261, 'end': 284, 'url': 'https://t.co/LBTLTdCTkP', 'expanded_url': 'https://twitter.com/ANANursingWorld/status/1578445474314551314/photo/1', 'display_url': 'pic.twitter.com/LBTLTdCTkP', 'media_key': '3_1578445470967496726'}], 'annotations': [{'start': 74, 'end': 77, 'probability': 0.8315, 'type': 'Organization', 'normalized_text': 'ANCC'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0, 'impression_count': 0}",ANANursingWorld
1209,2022-10-07T17:50:09.000Z,"Climate change puts workers' lives at risk. Thank you @SenJeffMerkley @SenWhitehouse, @SenMarkey @SenWarren @SenSanders @SenAlexPadilla @ChrisVanHollen &amp; @CoryBooker for asking @POTUS to declare a #ClimateEmergency to respond to this extraordinary threat. https://t.co/e3MuWPKHGg","{'urls': [{'start': 260, 'end': 283, 'url': 'https://t.co/e3MuWPKHGg', 'expanded_url': 'https://www.merkley.senate.gov/news/press-releases/merkley-colleagues-push-biden-to-build-on-inflation-reduction-act-declare-climate-emergency', 'display_url': 'merkley.senate.gov/news/press-rel…', 'title': 'Merkley, Colleagues Push Biden to Build on Inflation Reduction Act, Declare Climate Emergency | U.S. Senator Jeff Merkley of Oregon', 'description': 'The Official U.S. Senate website of Senator Jeff Merkley of Oregon', 'unwound_url': 'https://www.merkley.senate.gov/news/press-releases/merkley-colleagues-push-biden-to-build-on-inflation-reduction-act-declare-climate-emergency'}], 'hashtags': [{'start': 201, 'end': 218, 'tag': 'ClimateEmergency'}], 'mentions': [{'start': 54, 'end': 69, 'username': 'SenJeffMerkley', 'id': '29201047', 'verified': True, 'protected': False, 'url': 'https://t.co/uoOTYAkx5J', 'description': 'Dad, runner, Chief Filibuster Antagonist. U.S. Senator from Oregon.', 'profile_image_url': 'https://pbs.twimg.com/profile_images/873324219630854144/-7ZzOONo_normal.jpg', 'location': 'Oregon', 'created_at': '2009-04-06T13:38:39.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/uoOTYAkx5J', 'expanded_url': 'http://merkley.senate.gov', 'display_url': 'merkley.senate.gov'}]}}, 'name': 'Senator Jeff Merkley', 'public_metrics': {'followers_count': 496994, 'following_count': 1091, 'tweet_count': 17450, 'listed_count': 4580}}, {'start': 70, 'end': 84, 'username': 'SenWhitehouse', 'id': '242555999', 'verified': True, 'protected': False, 'url': 'https://t.co/zi0ijI1KND', 'description': 'U.S. Senator from Rhode Island, the Ocean State.', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1283042908648726531/kDPRtEdl_normal.jpg', 'location': 'Rhode Island', 'created_at': '2011-01-25T01:52:03.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zi0ijI1KND', 'expanded_url': 'http://whitehouse.senate.gov/', 'display_url': 'whitehouse.senate.gov'}]}}, 'name': 'Sheldon Whitehouse', 'public_metrics': {'followers_count': 584198, 'following_count': 2017, 'tweet_count': 21000, 'listed_count': 4260}}, {'start': 86, 'end': 96, 'username': 'SenMarkey', 'id': '21406834', 'verified': True, 'pinned_tweet_id': '1490739254577840129', 'protected': False, 'url': 'https://t.co/6caagiIDWf', 'description': 'US Senator for Massachusetts. Chair of Subcommittees on Clean Air, Climate & Nuclear Safety and on East Asia & the Pacific. Fighting for a Green New Deal.', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1381638402123137025/5dxEITqR_normal.jpg', 'location': 'Massachusetts', 'created_at': '2009-02-20T15:49:29.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/6caagiIDWf', 'expanded_url': 'http://www.markey.senate.gov/', 'display_url': 'markey.senate.gov'}]}}, 'name': 'Ed Markey', 'public_metrics': {'followers_count': 263283, 'following_count': 1821, 'tweet_count': 19712, 'listed_count': 3799}}, {'start': 97, 'end': 107, 'username': 'SenWarren', 'id': '970207298', 'verified': True, 'protected': False, 'url': 'http://t.co/wsbNrrUt', 'description': 'U.S. Senator, Massachusetts. She/her/hers. Official Senate account.', 'profile_image_url': 'https://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg', 'created_at': '2012-11-25T15:14:27.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 20, 'url': 'http://t.co/wsbNrrUt', 'expanded_url': 'http://warren.senate.gov', 'display_url': 'warren.senate.gov'}]}}, 'name': 'Elizabeth Warren', 'public_metrics': {'followers_count': 7040920, 'following_count': 512, 'tweet_count': 10578, 'listed_count': 20086}}, {'start': 108, 'end': 119, 'username': 'SenSanders', 'id': '29442313', 'verified': True, 'protected': False, 'url': 'https://t.co/3oM0yzS9pv', 'description': 'Sen. Sanders of Vermont, Chair of the U.S. Senate Committee on Health, Education, Labor & Pensions, is the longest-serving independent in congressional history.', 'profile_image_url': 'https://pbs.twimg.com/profile_images/794619281271033856/Fs0QQaH7_normal.jpg', 'location': 'Vermont/DC', 'created_at': '2009-04-07T13:02:35.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3oM0yzS9pv', 'expanded_url': 'http://www.sanders.senate.gov/', 'display_url': 'sanders.senate.gov'}]}}, 'name': 'Bernie Sanders', 'public_metrics': {'followers_count': 12496584, 'following_count': 2304, 'tweet_count': 23512, 'listed_count': 27315}}, {'start': 120, 'end': 135, 'username': 'SenAlexPadilla', 'id': '1351236267707654145', 'verified': True, 'pinned_tweet_id': '1506788552696287235', 'protected': False, 'url': 'https://t.co/OX9pgyCpJU', 'description': 'United States Senator for California', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1410351547964432388/VgMJmiWA_normal.jpg', 'location': 'California', 'created_at': '2021-01-18T18:34:30.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OX9pgyCpJU', 'expanded_url': 'http://www.padilla.senate.gov', 'display_url': 'padilla.senate.gov'}]}}, 'name': 'Senator Alex Padilla', 'public_metrics': {'followers_count': 64014, 'following_count': 364, 'tweet_count': 2882, 'listed_count': 547}}, {'start': 136, 'end': 151, 'username': 'ChrisVanHollen', 'id': '18137749', 'verified': True, 'protected': False, 'url': 'https://t.co/jwp9ukj6uO', 'description': 'U.S. Senator for Maryland', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1207390627400441856/4WmM925x_normal.jpg', 'location': 'Maryland, USA', 'created_at': '2008-12-15T15:00:29.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jwp9ukj6uO', 'expanded_url': 'https://www.vanhollen.senate.gov/', 'display_url': 'vanhollen.senate.gov'}]}}, 'name': 'Senator Chris Van Hollen', 'public_metrics': {'followers_count': 194416, 'following_count': 963, 'tweet_count': 7616, 'listed_count': 2551}}, {'start': 158, 'end': 169, 'username': 'CoryBooker', 'id': '15808765', 'verified': True, 'protected': False, 'url': 'https://t.co/fqpyg9EIqF', 'description': 'U.S. Senator from New Jersey. Most tweets (and typos) are mine, some are my team’s. He/him.', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1296891138532679680/8axGb9ml_normal.jpg', 'location': 'Newark, NJ', 'created_at': '2008-08-11T14:41:16.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fqpyg9EIqF', 'expanded_url': 'http://corybooker.com', 'display_url': 'corybooker.com'}]}}, 'name': 'Cory Booker', 'public_metrics': {'followers_count': 4835700, 'following_count': 85111, 'tweet_count': 67740, 'listed_count': 19104}}, {'start': 181, 'end': 187, 'username': 'POTUS', 'id': '1349149096909668363', 'verified': True, 'pinned_tweet_id': '1623140021657018369', 'protected': False, 'url': 'https://t.co/MzB1JWfbJ0', 'description': '46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/HDhBZBkKpU\nText me: (302) 404-0880', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg', 'created_at': '2021-01-13T00:37:08.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/MzB1JWfbJ0', 'expanded_url': 'http://WhiteHouse.gov', 'display_url': 'WhiteHouse.gov'}]}, 'description': {'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/HDhBZBkKpU', 'expanded_url': 'http://whitehouse.gov/privacy', 'display_url': 'whitehouse.gov/privacy'}], 'mentions': [{'start': 48, 'end': 55, 'username': 'FLOTUS'}]}}, 'name': 'President Biden', 'public_metrics': {'followers_count': 29407119, 'following_count': 13, 'tweet_count': 5284, 'listed_count': 22882}}]}","{'retweet_count': 11, 'reply_count': 1, 'like_count': 12, 'quote_count': 2, 'impression_count': 0}",CWAUnion
1212,2022-10-07T17:05:02.000Z,"Any serious solution to the educator shortage must address educator working conditions. They’re not sustainable and need to change. 

Here’s how 👇🏾  https://t.co/ZgDNG7QuBF","{'urls': [{'start': 149, 'end': 172, 'url': 'https://t.co/ZgDNG7QuBF', 'expanded_url': 'https://www.nea.org/resource-library/9-ways-improve-educator-working-conditions', 'display_url': 'nea.org/resource-libra…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1583579421193408512/F5yhjZjT?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1583579421193408512/F5yhjZjT?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': '9 Ways to Improve Educator Working Conditions | NEA', 'description': 'Students’ learning conditions are educators’ working conditions.', 'unwound_url': 'https://www.nea.org/resource-library/9-ways-improve-educator-working-conditions'}]}","{'retweet_count': 16, 'reply_count': 0, 'like_count': 18, 'quote_count': 1, 'impression_count': 0}",NEAToday
1216,2022-10-07T16:00:59.000Z,"Troy and Amber spoke out at OSHA's Workers’ Voice Summit last week to talk about health and safety problems at their workplaces!
https://t.co/YN0cIoqXL8","{'urls': [{'start': 129, 'end': 152, 'url': 'https://t.co/YN0cIoqXL8', 'expanded_url': 'https://cwa-union.org/news/workers-organizing-cwa-gather-osha-summit', 'display_url': 'cwa-union.org/news/workers-o…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1582268254781079554/vryvKxRu?format=jpg&name=orig', 'width': 1200, 'height': 628}, {'url': 'https://pbs.twimg.com/news_img/1582268254781079554/vryvKxRu?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Workers Organizing with CWA Gather at OSHA Summit', 'description': 'Workers, union representatives, and labor organizers from a range of industries gathered with U.S. Department of Labor officials at a first-of-its-kind summit held by the Occupational Safety and Health Administration.', 'unwound_url': 'https://cwa-union.org/news/workers-organizing-cwa-gather-osha-summit'}], 'annotations': [{'start': 0, 'end': 3, 'probability': 0.7086, 'type': 'Other', 'normalized_text': 'Troy'}, {'start': 9, 'end': 13, 'probability': 0.7547, 'type': 'Other', 'normalized_text': 'Amber'}, {'start': 28, 'end': 31, 'probability': 0.5139, 'type': 'Organization', 'normalized_text': 'OSHA'}, {'start': 33, 'end': 41, 'probability': 0.4896, 'type': 'Other', 'normalized_text': 's Workers'}]}","{'retweet_count': 3, 'reply_count': 0, 'like_count': 7, 'quote_count': 1, 'impression_count': 0}",CWAUnion
1226,2022-10-07T14:52:59.000Z,"Goosies at the D7 Health and Safety conference when 31-year-old Next Gener Tyler Phillips, Local 19G, talked about how the union has helped him in his sobriety journey. #EverybodysUnion #1u https://t.co/loUJZbwz2B","{'urls': [{'start': 190, 'end': 213, 'url': 'https://t.co/loUJZbwz2B', 'expanded_url': 'https://twitter.com/steelworkers/status/1578397985628626945/photo/1', 'display_url': 'pic.twitter.com/loUJZbwz2B', 'media_key': '3_1578397971980460033'}], 'annotations': [{'start': 15, 'end': 23, 'probability': 0.6719, 'type': 'Other', 'normalized_text': 'D7 Health'}, {'start': 75, 'end': 88, 'probability': 0.611, 'type': 'Other', 'normalized_text': 'Tyler Phillips'}], 'hashtags': [{'start': 169, 'end': 185, 'tag': 'EverybodysUnion'}, {'start': 186, 'end': 189, 'tag': '1u'}]}","{'retweet_count': 3, 'reply_count': 2, 'like_count': 13, 'quote_count': 1, 'impression_count': 0}",steelworkers
1233,2022-10-07T13:23:38.000Z,"D7 Health and Safety conference kicks off this morning with Porter County @SheriffReynolds discussing mental health, drug prevention and the workplace. “I commend you for what you do. Focusing on health and safety. You get it,” he said. https://t.co/PIq3C3iukN","{'urls': [{'start': 237, 'end': 260, 'url': 'https://t.co/PIq3C3iukN', 'expanded_url': 'https://twitter.com/steelworkers/status/1578375499096915968/photo/1', 'display_url': 'pic.twitter.com/PIq3C3iukN', 'media_key': '3_1578375483141529600'}], 'annotations': [{'start': 0, 'end': 8, 'probability': 0.6027, 'type': 'Other', 'normalized_text': 'D7 Health'}, {'start': 60, 'end': 72, 'probability': 0.9561, 'type': 'Place', 'normalized_text': 'Porter County'}], 'mentions': [{'start': 74, 'end': 90, 'username': 'SheriffReynolds', 'id': '1855968494', 'verified': False, 'protected': False, 'description': ""Reynolds' loyalty and dedication to public service is proven by his accomplishments and devotion to Porter County. He has 33 years of law enforcement experience"", 'profile_image_url': 'https://pbs.twimg.com/profile_images/378800000451962092/e109a737d0c1807e7015c95e6895a5c5_normal.jpeg', 'created_at': '2013-09-12T01:45:13.000Z', 'name': 'David Reynolds', 'public_metrics': {'followers_count': 77, 'following_count': 90, 'tweet_count': 37, 'listed_count': 0}}]}","{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'impression_count': 0}",steelworkers
1254,2022-10-06T22:57:00.000Z,Get an update on NALC's hurricane relief efforts and more information on how your branch can make donations. https://t.co/nVsff5WLZj,"{'urls': [{'start': 109, 'end': 132, 'url': 'https://t.co/nVsff5WLZj', 'expanded_url': 'https://nalc-info.org/hurrican-relief-effort', 'display_url': 'nalc-info.org/hurrican-relie…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1578157409163411456/QmrFSLn1?format=png&name=orig', 'width': 1200, 'height': 627}, {'url': 'https://pbs.twimg.com/news_img/1578157409163411456/QmrFSLn1?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Update on NALC hurricane relief efforts', 'description': 'The NALC Disaster Relief Foundation has sprung into action to help union members affected by Hurricanes Fiona and Ian.', 'unwound_url': 'https://www.nalc.org/news/nalc-updates/update-on-nalc-hurricane-relief-efforts'}], 'annotations': [{'start': 17, 'end': 20, 'probability': 0.9631, 'type': 'Organization', 'normalized_text': 'NALC'}]}","{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'impression_count': 0}",NALC_National
1262,2022-10-06T20:15:14.000Z,"The UA VIP program taught Army Sgt. Joseph Gannon basic welding skills to begin a civilian career in the pipe trades. Today, he’s a journeyman with UA Local 248 and works in the oil and gas industry. 

Learn more:

https://t.co/MPCGzuozXs","{'urls': [{'start': 215, 'end': 238, 'url': 'https://t.co/MPCGzuozXs', 'expanded_url': 'https://www.uavip.org/news-happenings/army-sgt.-recommended-for-civilian-jobs-thanks-to-vip-certifications', 'display_url': 'uavip.org/news-happening…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1578116736720814080/421jG2wM?format=jpg&name=orig', 'width': 960, 'height': 638}, {'url': 'https://pbs.twimg.com/news_img/1578116736720814080/421jG2wM?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Army Sgt. recommended for civilian jobs thanks to VIP certifications', 'description': 'Army Sgt. Joseph Gannon joined the UA VIP program in the service. He learned basic welding skills that helped him begin a career in the pipe trades.', 'unwound_url': 'https://www.uavip.org/news-happenings/army-sgt.-recommended-for-civilian-jobs-thanks-to-vip-certifications'}], 'annotations': [{'start': 4, 'end': 5, 'probability': 0.4846, 'type': 'Organization', 'normalized_text': 'UA'}, {'start': 36, 'end': 48, 'probability': 0.5626, 'type': 'Other', 'normalized_text': 'Joseph Gannon'}]}","{'retweet_count': 6, 'reply_count': 0, 'like_count': 11, 'quote_count': 0, 'impression_count': 0}",UAPipeTrades
1291,2022-10-06T17:17:00.000Z,"Public colleges are public goods - We demand investment in sustainable community colleges where students, faculty and staff can thrive. #ReinvestNotReinvent @CCCTU_Local1600 https://t.co/aZX7IOIETD","{'urls': [{'start': 174, 'end': 197, 'url': 'https://t.co/aZX7IOIETD', 'expanded_url': 'https://twitter.com/AFTunion/status/1578071839191928833/photo/1', 'display_url': 'pic.twitter.com/aZX7IOIETD', 'media_key': '3_1578032531475116041'}], 'mentions': [{'start': 157, 'end': 173, 'username': 'CCCTU_Local1600', 'id': '836214276', 'created_at': '2012-09-20T19:35:36.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/r7mNJeqwjy', 'expanded_url': 'http://CCCTU.org', 'display_url': 'CCCTU.org'}]}, 'description': {'hashtags': [{'start': 142, 'end': 145, 'tag': '1u'}]}}, 'url': 'http://t.co/r7mNJeqwjy', 'location': 'Chicago, Illinois', 'protected': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/658688792103006208/6YA3Q4da_normal.jpg', 'verified': False, 'name': 'CCCTU', 'description': 'The Cook County College Teachers Union, Local 1600, represents more than 5,000 members who work at 14 Community Colleges in the Chicago area. #1u', 'public_metrics': {'followers_count': 1404, 'following_count': 860, 'tweet_count': 4134, 'listed_count': 58}}], 'hashtags': [{'start': 136, 'end': 156, 'tag': 'ReinvestNotReinvent'}]}","{'retweet_count': 7, 'reply_count': 0, 'like_count': 18, 'quote_count': 2, 'impression_count': 0}",AFTunion
1321,2022-10-06T13:30:02.000Z,"It’s a packed house this morning at our District 7 Health and Safety Conference in Michigan City, Ind. Keeping everyone healthy and safe at work is our top priority,and hundreds are here to learn. #EverybodysUnion #1u https://t.co/oWlKwhlzwg","{'urls': [{'start': 218, 'end': 241, 'url': 'https://t.co/oWlKwhlzwg', 'expanded_url': 'https://twitter.com/steelworkers/status/1578014721328164867/photo/1', 'display_url': 'pic.twitter.com/oWlKwhlzwg', 'media_key': '3_1578014631087448065'}], 'hashtags': [{'start': 197, 'end': 213, 'tag': 'EverybodysUnion'}, {'start': 214, 'end': 217, 'tag': '1u'}], 'annotations': [{'start': 83, 'end': 95, 'probability': 0.9548, 'type': 'Place', 'normalized_text': 'Michigan City'}]}","{'retweet_count': 3, 'reply_count': 0, 'like_count': 10, 'quote_count': 0, 'impression_count': 0}",steelworkers
1326,2022-10-06T00:00:00.000Z,"As natural disasters devastate our communities, the IAM always act quickly to help our members get back on their feet.

@IAMBobMartinez urged delegates to continue supporting the IAM Disaster Relief Fund.

Make a contribution today: https://t.co/GbPV2uX18R
#IAMStandingStrong https://t.co/mprsYq3nM8","{'urls': [{'start': 233, 'end': 256, 'url': 'https://t.co/GbPV2uX18R', 'expanded_url': 'https://bit.ly/3rt5wyf', 'display_url': 'bit.ly/3rt5wyf', 'images': [{'url': 'https://pbs.twimg.com/news_img/1577810874890428419/qKgVDjA1?format=jpg&name=orig', 'width': 1358, 'height': 136}, {'url': 'https://pbs.twimg.com/news_img/1577810874890428419/qKgVDjA1?format=jpg&name=150x150', 'width': 136, 'height': 136}], 'status': 200, 'title': 'IAM Disaster Relief Fund - IAMAW', 'description': 'The IAM Disaster Relief Fund provides assistance in situations where our members and their families endure hardships due to natural disasters. The IAM reacts quickly to these needs before other sources of assistance are able. This is not possible without the support of those who have committed to keeping the IAM Disaster Relief Fund vibrant', 'unwound_url': 'https://www.goiam.org/departments/headquarters/community-services/disaster-relief/iam-disaster-relief-fund/'}, {'start': 276, 'end': 299, 'url': 'https://t.co/mprsYq3nM8', 'expanded_url': 'https://twitter.com/MachinistsUnion/status/1577810871262351360/video/1', 'display_url': 'pic.twitter.com/mprsYq3nM8', 'media_key': '7_1577443825512943616'}], 'mentions': [{'start': 120, 'end': 135, 'username': 'IAMBobMartinez', 'id': '866472592407920641', 'created_at': '2017-05-22T01:55:39.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/z7nHGHCujD', 'expanded_url': 'http://goiam.org', 'display_url': 'goiam.org'}]}, 'description': {'mentions': [{'start': 17, 'end': 33, 'username': 'MachinistsUnion'}]}}, 'url': 'https://t.co/z7nHGHCujD', 'location': 'U.S. & Canada', 'protected': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/866475542094073857/ZKvkmXMV_normal.jpg', 'verified': True, 'name': 'Robert Martinez Jr.', 'description': ""Int'l President, @MachinistsUnion. Dad & Husband, U.S. Navy Vet, Aircraft Assembler."", 'public_metrics': {'followers_count': 1715, 'following_count': 610, 'tweet_count': 366, 'listed_count': 19}}], 'hashtags': [{'start': 257, 'end': 275, 'tag': 'IAMStandingStrong'}], 'annotations': [{'start': 52, 'end': 54, 'probability': 0.4701, 'type': 'Organization', 'normalized_text': 'IAM'}, {'start': 179, 'end': 202, 'probability': 0.5443, 'type': 'Organization', 'normalized_text': 'IAM Disaster Relief Fund'}, {'start': 258, 'end': 274, 'probability': 0.464, 'type': 'Other', 'normalized_text': 'IAMStandingStrong'}]}","{'retweet_count': 5, 'reply_count': 1, 'like_count': 10, 'quote_count': 0, 'impression_count': 0}",MachinistsUnion
1381,2022-10-04T21:58:32.000Z,This is union work. @amprnet President Victor Bonilla Sánchez joined members on the #SolidarityRoute delivering water and supplies to active and retired teachers affected by Hurricane Fiona. https://t.co/8PtnJBpxWx,"{'annotations': [{'start': 39, 'end': 60, 'probability': 0.6795, 'type': 'Person', 'normalized_text': 'Victor Bonilla Sánchez'}, {'start': 174, 'end': 188, 'probability': 0.5704, 'type': 'Other', 'normalized_text': 'Hurricane Fiona'}], 'hashtags': [{'start': 84, 'end': 100, 'tag': 'SolidarityRoute'}], 'mentions': [{'start': 20, 'end': 28, 'username': 'amprnet', 'id': '1392942774', 'protected': False, 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/EFKigFlXH7', 'expanded_url': 'http://www.asociaciondemaestros.org', 'display_url': 'asociaciondemaestros.org'}]}}, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1590826588957982721/uYvLHNdj_normal.jpg', 'verified': False, 'public_metrics': {'followers_count': 3618, 'following_count': 999, 'tweet_count': 5942, 'listed_count': 25}, 'created_at': '2013-04-30T20:11:43.000Z', 'description': 'La Asociación de Maestros de Puerto Rico es la organización profesional, sindical y oficial del Magisterio de Puerto Rico.', 'location': 'Puerto Rico', 'url': 'https://t.co/EFKigFlXH7', 'name': 'AMPR'}], 'urls': [{'start': 191, 'end': 214, 'url': 'https://t.co/8PtnJBpxWx', 'expanded_url': 'https://twitter.com/AFTunion/status/1577417913014702080/photo/1', 'display_url': 'pic.twitter.com/8PtnJBpxWx', 'media_key': '3_1577417663499730944'}, {'start': 191, 'end': 214, 'url': 'https://t.co/8PtnJBpxWx', 'expanded_url': 'https://twitter.com/AFTunion/status/1577417913014702080/photo/1', 'display_url': 'pic.twitter.com/8PtnJBpxWx', 'media_key': '3_1577417769246564352'}, {'start': 191, 'end': 214, 'url': 'https://t.co/8PtnJBpxWx', 'expanded_url': 'https://twitter.com/AFTunion/status/1577417913014702080/photo/1', 'display_url': 'pic.twitter.com/8PtnJBpxWx', 'media_key': '3_1577417830248501248'}, {'start': 191, 'end': 214, 'url': 'https://t.co/8PtnJBpxWx', 'expanded_url': 'https://twitter.com/AFTunion/status/1577417913014702080/photo/1', 'display_url': 'pic.twitter.com/8PtnJBpxWx', 'media_key': '3_1577417886930415617'}]}","{'retweet_count': 3, 'reply_count': 0, 'like_count': 8, 'quote_count': 1, 'impression_count': 0}",AFTunion
1420,2022-10-04T14:19:57.000Z,"Last week, Hurricane Fiona hit Canada’s eastern seaboard and Hurricane Ian struck the Gulf Coast of Florida and other southern states. You can provide assistance to your fellow members by contributing to the ATU Disaster Relief Fund at https://t.co/oKUWQAWgXJ https://t.co/OV8cgSW8bR","{'annotations': [{'start': 11, 'end': 25, 'probability': 0.4776, 'type': 'Place', 'normalized_text': 'Hurricane Fiona'}, {'start': 31, 'end': 36, 'probability': 0.9541, 'type': 'Place', 'normalized_text': 'Canada'}, {'start': 61, 'end': 73, 'probability': 0.4833, 'type': 'Place', 'normalized_text': 'Hurricane Ian'}, {'start': 86, 'end': 95, 'probability': 0.5154, 'type': 'Place', 'normalized_text': 'Gulf Coast'}, {'start': 100, 'end': 106, 'probability': 0.8158, 'type': 'Place', 'normalized_text': 'Florida'}, {'start': 208, 'end': 210, 'probability': 0.5225, 'type': 'Organization', 'normalized_text': 'ATU'}, {'start': 221, 'end': 231, 'probability': 0.5287, 'type': 'Other', 'normalized_text': 'Relief Fund'}], 'urls': [{'start': 236, 'end': 259, 'url': 'https://t.co/oKUWQAWgXJ', 'expanded_url': 'https://bit.ly/ATU-Disaster-Relief', 'display_url': 'bit.ly/ATU-Disaster-R…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1613536359611863043/GY400R5s?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1613536359611863043/GY400R5s?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Take Action | Amalgamated Transit Union', 'description': 'U.S. Contributors: Your contribution is tax-deductible to the extent provided by law. When a crisis hits, ATU members step up – as we always do – to help our sisters and brothers impacted by donating the ATU Disaster Relief Fund. ATU members do what they do every day on the job, in their communities, and in their places of worship. They just help out. You can help your brothers and sisters who have been hurt this year by contributing to the ATU Disaster Relief Fund. Donations can be made online or by mailing a check to: Amalgamated Transit Union Disaster Relief Fund 10000 New Hampshire Avenue Silver Spring, MD 20903-1706 Attn: John A. Costa', 'unwound_url': 'https://actionnetwork.org/fundraising/the-atu-disaster-relief-fund-4/'}, {'start': 260, 'end': 283, 'url': 'https://t.co/OV8cgSW8bR', 'expanded_url': 'https://twitter.com/ATUComm/status/1577302510074839042/photo/1', 'display_url': 'pic.twitter.com/OV8cgSW8bR', 'media_key': '3_1577301528628629507'}]}","{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'impression_count': 0}",ATUComm
